intervention_id,student_id,intervention_type,semester,triggered_by,completed,outcome_next_semester
INT0025006,STU030780,Financial Aid Counseling,Fall 2019,GPA drop,True,Withdrew
INT0025007,STU030783,Tutoring,Spring 2018,gateway course failure,True,Graduated
INT0025008,STU030783,Advising,Spring 2018,gateway course failure,True,Graduated
INT0025009,STU030783,AI Guide,Fall 2018,GPA drop,False,Enrolled
INT0025010,STU030786,Advising,Spring 2020,gateway course failure,False,Withdrew
INT0025011,STU030786,Advising,Fall 2020,withdrawal risk,True,Withdrew
INT0025012,STU030788,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Withdrew
INT0025013,STU030788,Tutoring,Fall 2020,gateway course failure,True,Withdrew
INT0025014,STU030791,Advising,Fall 2022,aid gap,True,Withdrew
INT0025015,STU030791,Peer Mentoring,Fall 2022,withdrawal risk,False,Withdrew
INT0025016,STU030793,AI Guide,Spring 2018,gateway course failure,True,Enrolled
INT0025017,STU030793,Peer Mentoring,Spring 2018,withdrawal risk,True,Enrolled
INT0025018,STU030793,Advising,Spring 2018,gateway course failure,True,Enrolled
INT0025019,STU030797,Tutoring,Fall 2021,withdrawal risk,True,Enrolled
INT0025020,STU030805,Tutoring,Fall 2020,GPA drop,True,Withdrew
INT0025021,STU030808,Financial Aid Counseling,Spring 2020,withdrawal risk,True,Withdrew
INT0025022,STU030808,Peer Mentoring,Fall 2020,GPA drop,True,Enrolled
INT0025023,STU030811,Advising,Fall 2019,aid gap,False,Withdrew
INT0025024,STU030811,Advising,Spring 2019,GPA drop,False,Withdrew
INT0025025,STU030811,Tutoring,Fall 2019,GPA drop,True,Withdrew
INT0025026,STU030815,Tutoring,Spring 2021,GPA drop,True,Graduated
INT0025027,STU030815,Tutoring,Spring 2021,gateway course failure,False,Graduated
INT0025028,STU030815,AI Guide,Fall 2021,aid gap,True,Withdrew
INT0025029,STU030823,Financial Aid Counseling,Fall 2020,GPA drop,True,Withdrew
INT0025030,STU030823,Financial Aid Counseling,Fall 2020,GPA drop,True,Withdrew
INT0025031,STU030828,Tutoring,Spring 2022,withdrawal risk,True,Withdrew
INT0025032,STU030828,Advising,Fall 2023,withdrawal risk,True,Withdrew
INT0025033,STU030829,Advising,Spring 2019,gateway course failure,True,Enrolled
INT0025034,STU030833,Advising,Fall 2018,aid gap,False,Enrolled
INT0025035,STU030833,AI Guide,Spring 2019,GPA drop,True,Graduated
INT0025036,STU030833,Financial Aid Counseling,Spring 2019,aid gap,True,Graduated
INT0025037,STU030835,Financial Aid Counseling,Spring 2022,gateway course failure,True,Withdrew
INT0025038,STU030835,AI Guide,Fall 2022,gateway course failure,True,Enrolled
INT0025039,STU030839,AI Guide,Fall 2022,withdrawal risk,True,Withdrew
INT0025040,STU030839,Advising,Spring 2022,GPA drop,True,Graduated
INT0025041,STU030840,Advising,Fall 2020,withdrawal risk,True,Withdrew
INT0025042,STU030840,Advising,Fall 2020,withdrawal risk,True,Withdrew
INT0025043,STU030842,Financial Aid Counseling,Spring 2022,GPA drop,True,Withdrew
INT0025044,STU030842,Peer Mentoring,Spring 2022,gateway course failure,False,Withdrew
INT0025045,STU030843,Peer Mentoring,Fall 2022,aid gap,True,Withdrew
INT0025046,STU030843,Tutoring,Spring 2021,withdrawal risk,True,Enrolled
INT0025047,STU030843,Tutoring,Fall 2021,aid gap,True,Enrolled
INT0025048,STU030844,Financial Aid Counseling,Fall 2023,GPA drop,True,Enrolled
INT0025049,STU030845,Peer Mentoring,Fall 2021,GPA drop,True,Enrolled
INT0025050,STU030845,AI Guide,Fall 2021,gateway course failure,True,Enrolled
INT0025051,STU030846,Advising,Spring 2023,gateway course failure,True,Enrolled
INT0025052,STU030846,Financial Aid Counseling,Spring 2024,GPA drop,True,Enrolled
INT0025053,STU030847,Peer Mentoring,Fall 2018,withdrawal risk,True,Enrolled
INT0025054,STU030847,Peer Mentoring,Fall 2018,aid gap,True,Enrolled
INT0025055,STU030847,Tutoring,Spring 2018,withdrawal risk,True,Graduated
INT0025056,STU030854,Peer Mentoring,Spring 2021,aid gap,True,Enrolled
INT0025057,STU030854,Peer Mentoring,Spring 2021,withdrawal risk,True,Enrolled
INT0025058,STU030856,AI Guide,Spring 2021,gateway course failure,True,Enrolled
INT0025059,STU030857,Tutoring,Fall 2022,withdrawal risk,False,Enrolled
INT0025060,STU030858,AI Guide,Fall 2021,aid gap,True,Withdrew
INT0025061,STU030858,AI Guide,Fall 2021,withdrawal risk,True,Withdrew
INT0025062,STU030858,Peer Mentoring,Spring 2021,gateway course failure,True,Withdrew
INT0025063,STU030860,Tutoring,Fall 2021,withdrawal risk,False,Enrolled
INT0025064,STU030860,Peer Mentoring,Spring 2022,gateway course failure,False,Graduated
INT0025065,STU030860,AI Guide,Fall 2020,withdrawal risk,True,Enrolled
INT0025066,STU030864,Tutoring,Fall 2023,gateway course failure,True,Withdrew
INT0025067,STU030864,Peer Mentoring,Fall 2021,GPA drop,True,Enrolled
INT0025068,STU030865,Advising,Fall 2022,GPA drop,True,Enrolled
INT0025069,STU030865,Tutoring,Spring 2022,withdrawal risk,False,Withdrew
INT0025070,STU030868,Tutoring,Spring 2020,aid gap,True,Graduated
INT0025071,STU030868,AI Guide,Spring 2020,withdrawal risk,True,Graduated
INT0025072,STU030868,AI Guide,Fall 2020,withdrawal risk,True,Enrolled
INT0025073,STU030870,AI Guide,Spring 2020,aid gap,False,Graduated
INT0025074,STU030870,Tutoring,Fall 2020,GPA drop,True,Enrolled
INT0025075,STU030872,AI Guide,Fall 2022,GPA drop,True,Graduated
INT0025076,STU030872,Peer Mentoring,Spring 2021,withdrawal risk,False,Enrolled
INT0025077,STU030877,AI Guide,Fall 2018,gateway course failure,True,Enrolled
INT0025078,STU030881,Advising,Spring 2020,gateway course failure,True,Graduated
INT0025079,STU030881,Tutoring,Spring 2020,withdrawal risk,True,Graduated
INT0025080,STU030884,Tutoring,Fall 2020,GPA drop,True,Enrolled
INT0025081,STU030884,Financial Aid Counseling,Spring 2020,withdrawal risk,True,Enrolled
INT0025082,STU030885,Peer Mentoring,Fall 2021,gateway course failure,False,Withdrew
INT0025083,STU030889,Financial Aid Counseling,Spring 2020,aid gap,False,Withdrew
INT0025084,STU030889,AI Guide,Fall 2020,withdrawal risk,True,Withdrew
INT0025085,STU030896,Tutoring,Spring 2021,GPA drop,True,Withdrew
INT0025086,STU030896,Financial Aid Counseling,Fall 2022,gateway course failure,False,Withdrew
INT0025087,STU030896,Tutoring,Spring 2021,GPA drop,True,Withdrew
INT0025088,STU030897,Peer Mentoring,Spring 2022,gateway course failure,True,Withdrew
INT0025089,STU030897,Advising,Spring 2022,aid gap,True,Withdrew
INT0025090,STU030897,Peer Mentoring,Fall 2022,gateway course failure,True,Withdrew
INT0025091,STU030898,AI Guide,Spring 2023,gateway course failure,True,Withdrew
INT0025092,STU030899,Advising,Spring 2021,GPA drop,False,Withdrew
INT0025093,STU030899,AI Guide,Spring 2021,GPA drop,False,Withdrew
INT0025094,STU030901,Advising,Spring 2019,GPA drop,False,Enrolled
INT0025095,STU030901,Peer Mentoring,Fall 2019,GPA drop,True,Withdrew
INT0025096,STU030903,Financial Aid Counseling,Spring 2022,aid gap,False,Withdrew
INT0025097,STU030904,Financial Aid Counseling,Spring 2018,GPA drop,False,Enrolled
INT0025098,STU030904,Tutoring,Spring 2019,GPA drop,True,Withdrew
INT0025099,STU030905,AI Guide,Fall 2022,gateway course failure,True,Withdrew
INT0025100,STU030905,AI Guide,Fall 2024,GPA drop,True,Enrolled
INT0025101,STU030906,Peer Mentoring,Spring 2024,GPA drop,True,Enrolled
INT0025102,STU030906,AI Guide,Fall 2025,gateway course failure,True,Graduated
INT0025103,STU030908,Financial Aid Counseling,Fall 2024,GPA drop,True,Enrolled
INT0025104,STU030908,Tutoring,Fall 2024,GPA drop,True,Enrolled
INT0025105,STU030908,AI Guide,Fall 2022,gateway course failure,True,Enrolled
INT0025106,STU030910,Tutoring,Fall 2027,aid gap,True,Graduated
INT0025107,STU030910,Financial Aid Counseling,Spring 2024,GPA drop,True,Enrolled
INT0025108,STU030912,Financial Aid Counseling,Spring 2018,aid gap,False,Graduated
INT0025109,STU030914,Financial Aid Counseling,Spring 2021,gateway course failure,True,Withdrew
INT0025110,STU030914,Peer Mentoring,Spring 2021,gateway course failure,True,Withdrew
INT0025111,STU030914,Advising,Fall 2022,GPA drop,True,Withdrew
INT0025112,STU030916,Financial Aid Counseling,Fall 2020,aid gap,True,Withdrew
INT0025113,STU030921,AI Guide,Fall 2019,aid gap,True,Enrolled
INT0025114,STU030921,Financial Aid Counseling,Fall 2020,GPA drop,True,Withdrew
INT0025115,STU030921,Financial Aid Counseling,Fall 2019,withdrawal risk,True,Enrolled
INT0025116,STU030923,Peer Mentoring,Spring 2021,gateway course failure,True,Withdrew
INT0025117,STU030925,AI Guide,Fall 2020,withdrawal risk,True,Enrolled
INT0025118,STU030925,AI Guide,Fall 2020,aid gap,True,Enrolled
INT0025119,STU030926,AI Guide,Fall 2019,aid gap,True,Enrolled
INT0025120,STU030926,Peer Mentoring,Fall 2019,aid gap,True,Enrolled
INT0025121,STU030926,AI Guide,Spring 2019,GPA drop,True,Enrolled
INT0025122,STU030930,AI Guide,Spring 2021,gateway course failure,True,Enrolled
INT0025123,STU030934,Financial Aid Counseling,Fall 2019,aid gap,True,Enrolled
INT0025124,STU030934,Tutoring,Fall 2019,gateway course failure,True,Enrolled
INT0025125,STU030938,Peer Mentoring,Fall 2022,GPA drop,True,Withdrew
INT0025126,STU030938,Financial Aid Counseling,Spring 2021,aid gap,True,Enrolled
INT0025127,STU030938,Financial Aid Counseling,Spring 2021,gateway course failure,True,Enrolled
INT0025128,STU030941,AI Guide,Fall 2021,withdrawal risk,True,Withdrew
INT0025129,STU030942,Peer Mentoring,Fall 2019,withdrawal risk,True,Withdrew
INT0025130,STU030942,Peer Mentoring,Fall 2019,GPA drop,True,Withdrew
INT0025131,STU030945,AI Guide,Fall 2024,gateway course failure,True,Enrolled
INT0025132,STU030945,Tutoring,Fall 2019,aid gap,False,Enrolled
INT0025133,STU030946,AI Guide,Spring 2023,gateway course failure,True,Graduated
INT0025134,STU030946,Advising,Fall 2023,GPA drop,True,Enrolled
INT0025135,STU030946,Advising,Fall 2023,aid gap,True,Enrolled
INT0025136,STU030947,AI Guide,Spring 2021,aid gap,True,Graduated
INT0025137,STU030947,Peer Mentoring,Fall 2020,GPA drop,True,Withdrew
INT0025138,STU030947,Financial Aid Counseling,Spring 2021,aid gap,True,Graduated
INT0025139,STU030949,Tutoring,Fall 2019,aid gap,True,Enrolled
INT0025140,STU030949,Tutoring,Fall 2019,gateway course failure,True,Enrolled
INT0025141,STU030951,Tutoring,Fall 2022,gateway course failure,True,Enrolled
INT0025142,STU030951,Advising,Fall 2023,aid gap,True,Withdrew
INT0025143,STU030953,AI Guide,Fall 2021,GPA drop,True,Withdrew
INT0025144,STU030953,Tutoring,Spring 2021,aid gap,True,Withdrew
INT0025145,STU030959,Advising,Spring 2018,gateway course failure,True,Graduated
INT0025146,STU030959,Peer Mentoring,Spring 2018,gateway course failure,True,Graduated
INT0025147,STU030959,Advising,Fall 2018,aid gap,False,Withdrew
INT0025148,STU030960,Tutoring,Fall 2020,gateway course failure,True,Enrolled
INT0025149,STU030960,Financial Aid Counseling,Spring 2019,withdrawal risk,True,Enrolled
INT0025150,STU030960,Peer Mentoring,Spring 2022,withdrawal risk,True,Graduated
INT0025151,STU030961,AI Guide,Spring 2020,gateway course failure,True,Graduated
INT0025152,STU030961,Advising,Spring 2020,GPA drop,True,Graduated
INT0025153,STU030962,Financial Aid Counseling,Fall 2018,gateway course failure,True,Enrolled
INT0025154,STU030963,Tutoring,Spring 2022,withdrawal risk,True,Enrolled
INT0025155,STU030963,Financial Aid Counseling,Fall 2024,GPA drop,True,Withdrew
INT0025156,STU030965,Advising,Spring 2023,GPA drop,True,Enrolled
INT0025157,STU030965,AI Guide,Spring 2023,GPA drop,False,Enrolled
INT0025158,STU030965,Advising,Fall 2020,aid gap,True,Withdrew
INT0025159,STU030968,Advising,Fall 2020,gateway course failure,True,Withdrew
INT0025160,STU030968,AI Guide,Fall 2020,GPA drop,True,Withdrew
INT0025161,STU030972,Financial Aid Counseling,Spring 2021,aid gap,True,Graduated
INT0025162,STU030972,Peer Mentoring,Spring 2021,aid gap,True,Graduated
INT0025163,STU030974,Financial Aid Counseling,Spring 2022,gateway course failure,True,Withdrew
INT0025164,STU030974,Advising,Spring 2022,withdrawal risk,True,Withdrew
INT0025165,STU030974,Advising,Spring 2022,GPA drop,True,Withdrew
INT0025166,STU030975,Advising,Spring 2022,withdrawal risk,True,Enrolled
INT0025167,STU030975,Peer Mentoring,Spring 2022,gateway course failure,True,Enrolled
INT0025168,STU030975,AI Guide,Spring 2026,gateway course failure,False,Withdrew
INT0025169,STU030976,Advising,Spring 2024,aid gap,True,Enrolled
INT0025170,STU030976,Advising,Fall 2025,aid gap,True,Graduated
INT0025171,STU030977,Financial Aid Counseling,Fall 2021,gateway course failure,True,Enrolled
INT0025172,STU030977,AI Guide,Spring 2021,aid gap,True,Graduated
INT0025173,STU030978,Financial Aid Counseling,Fall 2022,withdrawal risk,False,Withdrew
INT0025174,STU030978,Advising,Fall 2022,gateway course failure,True,Withdrew
INT0025175,STU030980,Peer Mentoring,Fall 2019,withdrawal risk,True,Withdrew
INT0025176,STU030980,Tutoring,Spring 2018,withdrawal risk,False,Enrolled
INT0025177,STU030985,Tutoring,Fall 2021,aid gap,True,Withdrew
INT0025178,STU030985,Financial Aid Counseling,Spring 2021,aid gap,True,Withdrew
INT0025179,STU030990,Peer Mentoring,Spring 2021,GPA drop,True,Graduated
INT0025180,STU030990,Tutoring,Spring 2021,aid gap,True,Graduated
INT0025181,STU030990,Tutoring,Fall 2021,gateway course failure,True,Enrolled
INT0025182,STU030991,AI Guide,Spring 2021,GPA drop,True,Withdrew
INT0025183,STU030992,Financial Aid Counseling,Fall 2022,gateway course failure,True,Enrolled
INT0025184,STU030992,AI Guide,Fall 2022,aid gap,True,Enrolled
INT0025185,STU030992,Financial Aid Counseling,Spring 2022,GPA drop,True,Enrolled
INT0025186,STU030997,Advising,Fall 2021,gateway course failure,True,Enrolled
INT0025187,STU030997,Peer Mentoring,Fall 2021,withdrawal risk,True,Enrolled
INT0025188,STU030997,Tutoring,Fall 2021,aid gap,True,Enrolled
INT0025189,STU030999,Financial Aid Counseling,Spring 2021,withdrawal risk,True,Withdrew
INT0025190,STU030999,AI Guide,Spring 2021,GPA drop,True,Withdrew
INT0025191,STU030999,Advising,Spring 2021,withdrawal risk,True,Withdrew
INT0025192,STU031001,Advising,Fall 2020,gateway course failure,True,Withdrew
INT0025193,STU031002,Tutoring,Fall 2022,GPA drop,True,Enrolled
INT0025194,STU031002,Tutoring,Spring 2022,GPA drop,True,Graduated
INT0025195,STU031002,Advising,Spring 2022,withdrawal risk,True,Graduated
INT0025196,STU031005,Tutoring,Fall 2022,aid gap,False,Withdrew
INT0025197,STU031005,Financial Aid Counseling,Fall 2022,GPA drop,False,Withdrew
INT0025198,STU031005,AI Guide,Fall 2022,aid gap,True,Withdrew
INT0025199,STU031007,Financial Aid Counseling,Fall 2022,withdrawal risk,True,Withdrew
INT0025200,STU031013,Peer Mentoring,Fall 2018,withdrawal risk,True,Enrolled
INT0025201,STU031013,Tutoring,Spring 2018,GPA drop,True,Graduated
INT0025202,STU031015,Advising,Fall 2019,gateway course failure,False,Withdrew
INT0025203,STU031016,Financial Aid Counseling,Spring 2018,gateway course failure,True,Enrolled
INT0025204,STU031016,Tutoring,Fall 2020,withdrawal risk,True,Enrolled
INT0025205,STU031016,Advising,Fall 2018,aid gap,False,Enrolled
INT0025206,STU031017,Tutoring,Spring 2019,GPA drop,True,Enrolled
INT0025207,STU031017,Peer Mentoring,Fall 2019,GPA drop,True,Enrolled
INT0025208,STU031018,Tutoring,Spring 2020,withdrawal risk,True,Graduated
INT0025209,STU031018,AI Guide,Spring 2020,aid gap,True,Graduated
INT0025210,STU031018,AI Guide,Spring 2020,withdrawal risk,True,Graduated
INT0025211,STU031021,AI Guide,Fall 2021,GPA drop,True,Withdrew
INT0025212,STU031023,Advising,Spring 2023,withdrawal risk,False,Graduated
INT0025213,STU031023,AI Guide,Spring 2022,withdrawal risk,True,Enrolled
INT0025214,STU031023,Financial Aid Counseling,Fall 2023,GPA drop,True,Withdrew
INT0025215,STU031024,AI Guide,Fall 2019,gateway course failure,True,Enrolled
INT0025216,STU031028,AI Guide,Spring 2020,aid gap,True,Enrolled
INT0025217,STU031028,Peer Mentoring,Fall 2021,withdrawal risk,True,Enrolled
INT0025218,STU031033,Advising,Spring 2019,aid gap,False,Enrolled
INT0025219,STU031038,Tutoring,Fall 2018,aid gap,True,Enrolled
INT0025220,STU031041,Peer Mentoring,Fall 2018,aid gap,True,Enrolled
INT0025221,STU031041,Financial Aid Counseling,Spring 2018,withdrawal risk,True,Withdrew
INT0025222,STU031043,Financial Aid Counseling,Spring 2022,aid gap,False,Withdrew
INT0025223,STU031043,Peer Mentoring,Spring 2022,gateway course failure,True,Withdrew
INT0025224,STU031045,Peer Mentoring,Fall 2021,GPA drop,True,Enrolled
INT0025225,STU031045,AI Guide,Fall 2021,GPA drop,True,Enrolled
INT0025226,STU031047,Advising,Spring 2018,gateway course failure,True,Graduated
INT0025227,STU031047,Tutoring,Fall 2018,withdrawal risk,True,Enrolled
INT0025228,STU031049,Peer Mentoring,Spring 2021,withdrawal risk,True,Enrolled
INT0025229,STU031050,Financial Aid Counseling,Fall 2024,gateway course failure,True,Enrolled
INT0025230,STU031055,Advising,Spring 2018,GPA drop,True,Enrolled
INT0025231,STU031055,Tutoring,Spring 2021,gateway course failure,True,Graduated
INT0025232,STU031059,Financial Aid Counseling,Fall 2022,aid gap,True,Enrolled
INT0025233,STU031059,AI Guide,Fall 2022,withdrawal risk,True,Enrolled
INT0025234,STU031059,Tutoring,Fall 2022,gateway course failure,True,Enrolled
INT0025235,STU031065,AI Guide,Spring 2019,aid gap,True,Enrolled
INT0025236,STU031070,Peer Mentoring,Fall 2020,withdrawal risk,False,Enrolled
INT0025237,STU031071,AI Guide,Fall 2021,GPA drop,True,Withdrew
INT0025238,STU031072,Tutoring,Spring 2018,gateway course failure,True,Enrolled
INT0025239,STU031072,AI Guide,Fall 2018,gateway course failure,True,Withdrew
INT0025240,STU031072,Financial Aid Counseling,Fall 2019,gateway course failure,True,Enrolled
INT0025241,STU031073,Financial Aid Counseling,Spring 2022,GPA drop,True,Graduated
INT0025242,STU031073,Financial Aid Counseling,Spring 2020,GPA drop,True,Enrolled
INT0025243,STU031075,Tutoring,Fall 2025,gateway course failure,False,Enrolled
INT0025244,STU031076,Financial Aid Counseling,Fall 2021,gateway course failure,False,Enrolled
INT0025245,STU031077,Advising,Fall 2019,aid gap,True,Enrolled
INT0025246,STU031077,AI Guide,Fall 2019,withdrawal risk,True,Enrolled
INT0025247,STU031081,Tutoring,Spring 2023,aid gap,True,Withdrew
INT0025248,STU031081,Tutoring,Spring 2022,GPA drop,True,Enrolled
INT0025249,STU031081,Financial Aid Counseling,Spring 2022,gateway course failure,True,Enrolled
INT0025250,STU031084,AI Guide,Fall 2021,aid gap,False,Enrolled
INT0025251,STU031085,Tutoring,Spring 2019,aid gap,True,Graduated
INT0025252,STU031091,AI Guide,Fall 2020,gateway course failure,True,Enrolled
INT0025253,STU031091,Advising,Spring 2019,aid gap,True,Enrolled
INT0025254,STU031094,AI Guide,Fall 2020,gateway course failure,True,Withdrew
INT0025255,STU031094,Tutoring,Fall 2020,GPA drop,True,Withdrew
INT0025256,STU031095,AI Guide,Fall 2023,aid gap,True,Enrolled
INT0025257,STU031095,Tutoring,Spring 2022,aid gap,True,Enrolled
INT0025258,STU031095,AI Guide,Spring 2022,withdrawal risk,True,Enrolled
INT0025259,STU031098,Advising,Fall 2024,aid gap,False,Withdrew
INT0025260,STU031098,Advising,Spring 2023,gateway course failure,False,Withdrew
INT0025261,STU031100,Advising,Spring 2021,GPA drop,False,Graduated
INT0025262,STU031100,Financial Aid Counseling,Fall 2021,gateway course failure,True,Enrolled
INT0025263,STU031100,Advising,Fall 2021,aid gap,True,Enrolled
INT0025264,STU031101,Advising,Spring 2019,GPA drop,False,Enrolled
INT0025265,STU031103,Financial Aid Counseling,Spring 2020,gateway course failure,True,Withdrew
INT0025266,STU031103,Financial Aid Counseling,Spring 2020,gateway course failure,False,Withdrew
INT0025267,STU031103,Advising,Spring 2020,GPA drop,True,Withdrew
INT0025268,STU031106,Peer Mentoring,Spring 2022,GPA drop,False,Withdrew
INT0025269,STU031106,Peer Mentoring,Spring 2022,aid gap,False,Withdrew
INT0025270,STU031107,Advising,Fall 2018,withdrawal risk,True,Enrolled
INT0025271,STU031107,Financial Aid Counseling,Spring 2019,aid gap,True,Enrolled
INT0025272,STU031112,Peer Mentoring,Fall 2021,aid gap,False,Enrolled
INT0025273,STU031113,Tutoring,Spring 2020,GPA drop,True,Withdrew
INT0025274,STU031114,Financial Aid Counseling,Spring 2019,gateway course failure,False,Withdrew
INT0025275,STU031114,Peer Mentoring,Spring 2018,GPA drop,True,Enrolled
INT0025276,STU031114,Tutoring,Fall 2018,aid gap,True,Enrolled
INT0025277,STU031115,Financial Aid Counseling,Spring 2021,gateway course failure,True,Withdrew
INT0025278,STU031116,Financial Aid Counseling,Fall 2021,gateway course failure,True,Enrolled
INT0025279,STU031119,Financial Aid Counseling,Fall 2020,aid gap,True,Withdrew
INT0025280,STU031119,Financial Aid Counseling,Fall 2020,gateway course failure,True,Withdrew
INT0025281,STU031120,Peer Mentoring,Spring 2023,aid gap,True,Withdrew
INT0025282,STU031120,Peer Mentoring,Spring 2022,gateway course failure,True,Enrolled
INT0025283,STU031120,Financial Aid Counseling,Spring 2023,GPA drop,True,Withdrew
INT0025284,STU031121,AI Guide,Spring 2021,GPA drop,True,Graduated
INT0025285,STU031121,Financial Aid Counseling,Fall 2021,GPA drop,True,Enrolled
INT0025286,STU031124,Advising,Spring 2021,GPA drop,False,Enrolled
INT0025287,STU031124,Tutoring,Spring 2021,aid gap,True,Enrolled
INT0025288,STU031124,Peer Mentoring,Spring 2020,gateway course failure,True,Withdrew
INT0025289,STU031125,Peer Mentoring,Fall 2022,gateway course failure,True,Withdrew
INT0025290,STU031125,AI Guide,Spring 2022,withdrawal risk,False,Withdrew
INT0025291,STU031125,Tutoring,Spring 2022,gateway course failure,True,Withdrew
INT0025292,STU031126,Advising,Spring 2021,aid gap,True,Enrolled
INT0025293,STU031126,Financial Aid Counseling,Spring 2020,GPA drop,True,Enrolled
INT0025294,STU031126,Peer Mentoring,Spring 2021,withdrawal risk,True,Enrolled
INT0025295,STU031128,Tutoring,Spring 2021,withdrawal risk,True,Withdrew
INT0025296,STU031128,Tutoring,Fall 2021,GPA drop,False,Withdrew
INT0025297,STU031130,AI Guide,Fall 2020,gateway course failure,True,Withdrew
INT0025298,STU031130,Tutoring,Spring 2020,withdrawal risk,False,Withdrew
INT0025299,STU031131,Advising,Spring 2018,GPA drop,True,Graduated
INT0025300,STU031131,Peer Mentoring,Fall 2018,aid gap,True,Enrolled
INT0025301,STU031131,AI Guide,Fall 2018,aid gap,True,Enrolled
INT0025302,STU031134,AI Guide,Fall 2020,aid gap,True,Withdrew
INT0025303,STU031135,AI Guide,Fall 2018,gateway course failure,False,Enrolled
INT0025304,STU031135,AI Guide,Fall 2018,withdrawal risk,True,Enrolled
INT0025305,STU031136,Financial Aid Counseling,Spring 2018,withdrawal risk,False,Enrolled
INT0025306,STU031136,Peer Mentoring,Spring 2018,withdrawal risk,True,Enrolled
INT0025307,STU031137,Tutoring,Fall 2021,GPA drop,True,Enrolled
INT0025308,STU031137,Financial Aid Counseling,Fall 2022,withdrawal risk,True,Enrolled
INT0025309,STU031137,Advising,Spring 2021,GPA drop,True,Enrolled
INT0025310,STU031139,Tutoring,Fall 2022,withdrawal risk,True,Withdrew
INT0025311,STU031141,Peer Mentoring,Fall 2018,gateway course failure,True,Enrolled
INT0025312,STU031141,Peer Mentoring,Fall 2019,withdrawal risk,False,Withdrew
INT0025313,STU031141,AI Guide,Spring 2019,GPA drop,True,Withdrew
INT0025314,STU031142,Tutoring,Spring 2022,withdrawal risk,True,Graduated
INT0025315,STU031142,Financial Aid Counseling,Spring 2022,gateway course failure,True,Graduated
INT0025316,STU031142,AI Guide,Spring 2022,GPA drop,True,Graduated
INT0025317,STU031149,Tutoring,Spring 2020,GPA drop,True,Withdrew
INT0025318,STU031149,Financial Aid Counseling,Fall 2021,aid gap,True,Withdrew
INT0025319,STU031154,AI Guide,Spring 2023,aid gap,True,Withdrew
INT0025320,STU031155,Tutoring,Spring 2018,withdrawal risk,True,Enrolled
INT0025321,STU031155,Advising,Fall 2020,withdrawal risk,True,Enrolled
INT0025322,STU031155,Advising,Fall 2018,aid gap,True,Enrolled
INT0025323,STU031159,Financial Aid Counseling,Fall 2021,gateway course failure,True,Enrolled
INT0025324,STU031159,Financial Aid Counseling,Spring 2021,GPA drop,True,Enrolled
INT0025325,STU031164,AI Guide,Fall 2019,GPA drop,True,Withdrew
INT0025326,STU031166,Peer Mentoring,Fall 2018,aid gap,True,Withdrew
INT0025327,STU031166,Tutoring,Spring 2018,gateway course failure,True,Withdrew
INT0025328,STU031166,Tutoring,Fall 2018,gateway course failure,True,Withdrew
INT0025329,STU031167,Peer Mentoring,Spring 2018,gateway course failure,False,Graduated
INT0025330,STU031172,AI Guide,Fall 2019,GPA drop,False,Withdrew
INT0025331,STU031173,Peer Mentoring,Fall 2024,GPA drop,True,Enrolled
INT0025332,STU031177,Financial Aid Counseling,Fall 2018,gateway course failure,True,Withdrew
INT0025333,STU031177,Advising,Fall 2018,aid gap,True,Withdrew
INT0025334,STU031177,Peer Mentoring,Fall 2018,GPA drop,False,Withdrew
INT0025335,STU031180,Tutoring,Spring 2021,aid gap,True,Enrolled
INT0025336,STU031180,AI Guide,Fall 2023,withdrawal risk,True,Enrolled
INT0025337,STU031181,Advising,Fall 2023,GPA drop,True,Enrolled
INT0025338,STU031181,AI Guide,Spring 2023,gateway course failure,False,Enrolled
INT0025339,STU031181,Tutoring,Spring 2018,aid gap,True,Enrolled
INT0025340,STU031183,Advising,Spring 2020,withdrawal risk,True,Enrolled
INT0025341,STU031183,Advising,Spring 2021,GPA drop,True,Withdrew
INT0025342,STU031183,Advising,Spring 2021,aid gap,True,Withdrew
INT0025343,STU031184,Financial Aid Counseling,Spring 2019,gateway course failure,True,Graduated
INT0025344,STU031184,Financial Aid Counseling,Fall 2018,aid gap,True,Enrolled
INT0025345,STU031184,AI Guide,Spring 2018,GPA drop,False,Enrolled
INT0025346,STU031185,Tutoring,Fall 2019,withdrawal risk,True,Enrolled
INT0025347,STU031185,Advising,Spring 2021,aid gap,True,Graduated
INT0025348,STU031185,AI Guide,Spring 2021,gateway course failure,True,Graduated
INT0025349,STU031193,AI Guide,Spring 2019,GPA drop,True,Withdrew
INT0025350,STU031193,Peer Mentoring,Fall 2020,aid gap,False,Enrolled
INT0025351,STU031198,Tutoring,Spring 2020,GPA drop,True,Enrolled
INT0025352,STU031198,Advising,Fall 2020,GPA drop,True,Enrolled
INT0025353,STU031200,Advising,Fall 2019,GPA drop,True,Withdrew
INT0025354,STU031201,AI Guide,Spring 2021,withdrawal risk,False,Withdrew
INT0025355,STU031201,Peer Mentoring,Spring 2021,GPA drop,True,Withdrew
INT0025356,STU031203,Tutoring,Fall 2018,GPA drop,True,Withdrew
INT0025357,STU031204,Financial Aid Counseling,Fall 2019,gateway course failure,True,Withdrew
INT0025358,STU031204,AI Guide,Spring 2019,withdrawal risk,True,Withdrew
